-239,-1223.6191510906528
201,
-431,-1146.876354366364
417,1266.9155434787644
-215,353.4149535611223
-494,-716.4041045841218
-295,-790.2874486365681
-303,-320.6231790997905
-441,-1161.7429426216227
141,702.8065122822568
-320,-1608.7432179879206
74,-621.4439841347953
-203,-647.9131770935369
-499,-1918.9484900734533
-323,-1891.8512072209319
320,990.9594525026025
251,660.9386523996034
40,-2435.7110364771645
-375,
-168,-953.9247484525765
-305,-1136.6112421369144
-148,-1243.7575085841975
-416,
130,278.26045001000375
-247,-1283.676928593731
181,843.1556969124422
429,1149.608224103782
-121,-89.56542008306997
383,1248.1241269592294
-358,-966.5105933017538
-367,-1200.7980698336394
-359,-2753.8334590172942
-192,
-237,-648.5877894412889
-293,-406.49590962175586
225,2408.0072468207242
-322,-1415.2901127946661
-475,-1621.2470750329237
-8,2163.26968119472596
-100,172.27638104593416
490,1282.1765778901035
87,-336.33725041595727
7,-110.02776256388847
-349,-204.09114652068297
437,1203.4029091846073
299,
-44,-774.7727901132055
93,-467.5725176442065
86,72.5759050777788
292,1389.2966266743838
